No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,lattitude,Longitude
20,20245715.0,SDN 198 MEKARJAYA KOTA BANDUNG,Jl. Cisaranten Baru N0. 21,Cisaranten Kulon,NEGERI,26013,SD,Arcamanik,"Jl. Cisaranten Baru N0. 21, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9195294,107.6828132","Jl. Cisaranten Baru, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9195294,107.6828132
21,20245448.0,SDN 226 ARCAMANIK ENDAH KOTA BANDUNG,Jl. Olah Raga No. 5,Sukamiskin,NEGERI,26013,SD,Arcamanik,"Jl. Olah Raga No. 5, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.915047299999999,107.6787415","Jl. Olahraga blkng sdn arcamanik endah No.5, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9150473,107.6787415
22,20245585.0,SDN 244 GURUMINDA KOTA BANDUNG,Jl. Indra Jaya No. 7,Cisaranten Kulon,NEGERI,26013,SD,Arcamanik,"Jl. Indra Jaya No. 7, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9267722,107.6736362","Blk. 7, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9267722,107.6736362
1,20247205.0,SD ARRAFI,Jl. Sekejati III No.20,Sukapura,SWASTA,26015,SD,Kiaracondong,"Jl. Sekejati III No.20, Kel. Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9420489,107.6459063","Jl. Sekejati 3 No.20, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40285, Indonesia",-6.9420489,107.6459063
2,69947365.0,SD HAS DARUL ILMI,Jl. Cidurian Utara No. 179,Sukapura,SWASTA,26015,SD,Kiaracondong,"Jl. Cidurian Utara No. 179, Kel. Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.933411899999999,107.654527","Jl. Cidurian Utara No.179, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40285, Indonesia",-6.9334119,107.654527
3,20219608.0,SD IGNATIUS SLAMET RIYADI 2,Jl. Kebon Kangkung X,Kebon Kangkung,SWASTA,26015,SD,Kiaracondong,"Jl. Kebon Kangkung X, Kel. Kebon Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9372257,107.6431016","Jl. Kebon Kangkung 10, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",-6.9372257,107.6431016
4,70042649.0,SD ISLAM ABU SENO,Jl. Gg. Slamet II No. 15,Babakan Surabaya,SWASTA,26015,SD,Kiaracondong,"Jl. Gg. Slamet II No. 15, Kel. Babakan Surabaya, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9085472,107.6461368","Gg. Selamet II No.15, Babakan Surabaya, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281, Indonesia",-6.9085472,107.6461368
5,20219853.0,SD MUHAMMADIYAH 2,Jl. Kebon Jayanti Gg. Pensiun Kiaracondong,Kebun Jayanti,SWASTA,26015,SD,Kiaracondong,"Jl. Kebon Jayanti Gg. Pensiun Kiaracondong, Kel. Kebun Jayanti, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9275192,107.6480471","Gg. Pensiun, Kebun Jayanti, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281, Indonesia",-6.9275192,107.6480471
6,20245760.0,SDN 017 SEKEJATI KOTA BANDUNG,Jl. Cidurian Utara No.18,Sukapura,NEGERI,26015,SD,Kiaracondong,"Jl. Cidurian Utara No.18, Kel. Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9403646,107.6529475","Jl. Cidurian Utara No.18, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40285, Indonesia",-6.9403646,107.6529475
7,20245701.0,SDN 038 KIARACONDONG KOTA BANDUNG,Jl. Ibrahim Adjie No. 355,Kebon Kangkung,NEGERI,26015,SD,Kiaracondong,"Jl. Ibrahim Adjie No. 355, Kel. Kebon Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.933365999999999,107.6430555","Jl. Ibrahim Adjie No.355, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40284, Indonesia",-6.933366,107.6430555
