8,No,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG,Lattitude,longitude,.1,.2,.3
,97,COBLONG,CIPAGANTI,"Jl. Dr. Slamet No. 3, Rt.01 Rw.07, Cipaganti, Coblong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Coblong Cipaganti,-6.899444,107.6028559,,,
,98,LENGKONG,TURANGGA,"Jalan Kiliningan No. 10C, Kelurahan Turangga, Kecamatan Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Turangga 4,-6.9405809,107.6287949,,,
,99,KIARACONDONG,KEBON KANGKUNG,"JI. Mandala No. 20, RT 002 RW 011. Kelurahan Kebon Kangkung, Kecamatan Kiaracondong, Kota Bandung, Jawa Barat.",SPPG Kota Bandung Kiaracondong Kebon Kangkung 1,-6.9437081,107.6452679,,,
,100,PANYILEUKAN,CIPADUNG KIDUL,"Kompleks Bumi Panyileukan, Jl. KUA No. 29, Kelurahan Cipadung Kidul, Kec. Panyileukan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Panyileukan Cipadung Kidul,-6.943087,107.7123711,,,
,101,BUAHBATU,JATI SARI,Jl. Sanggar Kencana Utama No 24,SPPG Kota Bandung Buahbatu Jati Sari,-6.9358944,107.6672775,,,
,102,BANDUNG KULON,CIJERAH,"Jl. Cijerah Nmr 150, Cijerah, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Cijerah 2,-6.9235317,107.5680217,,,
,103,CIDADAP,CIUMBULEUIT,Jl. Rereongan Sarupi 173,SPPG Kota Bandung Cidadap Ciumbuleuit,-6.857363,107.6084062,,,
,104,CIBIRU,PALASARI,"JL. Cilengkrang 1 Kampung Sekehonje, RT 02 RW 06 Kel. Cisurupan Kec. Cibiru Kota Bandung",SPPG Kota Bandung Cibiru Palasari 2,-6.9096983,107.7233028,,,
,105,BABAKAN CIPARAY,BABAKAN,"Jl. Situ No. 16 Desa Sukahaji, Kecamatan Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Babakan 2,-6.9209567,107.5820844,,,
,106,ANDIR,MALEBER,"Jl. Rajawali Barat Maleber, Kec. Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Maleber 2,-6.9114087,107.5713173,,,
,107,CIBIRU,CIPADUNG,"Jl. Desa Cipadung, Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibiru Cipadung 2,-6.9239447,107.7194917,,,
,108,SUKAJADI,SUKAGALIH,Jl. Setrawangi Selatan I No.1 Rt 02 Rw 04Sukagalih Sukajadi,SPPG Kota Bandung Sukajadi Sukagalih 02,-6.8850161,107.585034,,,
,109,ANDIR,CAMPAKA,"Jl. Cimindi No.86,  Kelurahan Cempaka, Kecamatan Andir, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Andir Campaka,-6.900591,107.5632761,,,
,110,SUKAJADI,SUKAGALIH,"Jl. Cipedes Tengah No. 145, Kelurahan Sukagalih, Kecamatan Sukajadi, Kota Bandung, Jawa Barat.",SPPG Kota Bandung Sukajadi Sukagalih 03,-6.884202,107.5900917,,,
,111,BOJONGLOA KIDUL,CIBADUYUT,Jl. Mekar Pesona Permai No 10 Mekarwangi Bandung Rt.02/Rw.08 Kelurahan Cibaduyut Kecamatan Bojongloa Kidul Kota Bandung Jawa Barat,SPPG Kota Bandung Bojongloa Kidul Cibaduyut,-6.9516227,107.5981202,,,
,112,REGOL,BALONG GEDE,"Jalan Pungkur No. 189, RT/007 RW/006 Kelurahan Balonggede, Kecamatan Regol Kota Bandung Jawa Barat",SPPG Kota Bandung Regol Balong Gede,-6.9306315,107.6119126,,,
,113,CICENDO,HUSEIN SASTRANEGARA,"Kawasan Produksi 1 Bandara Husien Sastranegara, Jalan Pajajaran, Kelurahan Husein Sastranegara, Kecamatan Cicendo",SPPG Kota Bandung Cicendo Husein Sastranegara 3,-6.9039886,107.5799633,,,
